"Country";"City";"Car type";"Price"
"Australia";"Adelaide";"Subaru Forester";31.12
"Australia";"Adelaide";"Audi A3";33.47
"Australia";"Adelaide";"Audi A4";45.47
"Australia";"Adelaide";"Audi A6";42.76
"Australia";"Adelaide";"Kia Carnival";49.84
"Australia";"Adelaide";"Ford Falcon Estate/Wagon";45.5
"Australia";"Adelaide";"Subaru Legacy Estate/Wagon";36.49
"Australia";"Adelaide";"Toyota Land Cruiser";33.61
"Australia";"Adelaide";"Toyota Corolla 3door";49.85
"Australia";"Adelaide";"Hyundai Elantra";34.47
"Australia";"Adelaide";"Mitsubishi Lancer";42.32
"Australia";"Adelaide";"Toyota Camry";38.68
"Australia";"Adelaide";"Mini Cooper Convertible";44.53
"Australia";"Adelaide";"BMW 3Series";48.21
"Australia";"Adelaide";"Toyota Tarago";45.6
"Australia";"Adelaide";"Toyota HiAce";41.84
"Australia";"Adelaide";"Mitsubishi Outlander";36.76
"Australia";"Adelaide";"Ford Territory";44.34
"Australia";"Adelaide";"Mitsubishi Pajero";44.65
"Australia";"Airlie Beach";"Hyundai Getz 3door";44.42
"Australia";"Airlie Beach";"Toyota Corolla 3door";43.6
"Australia";"Airlie Beach";"Hyundai Elantra";38.79
"Australia";"Airlie Beach";"Mitsubishi Lancer";40.57
"Australia";"Airlie Beach";"Toyota Camry";46.55
"Australia";"Airlie Beach";"Mini Cooper Convertible";44.52
"Australia";"Airlie Beach";"BMW 3Series";43.4
"Australia";"Airlie Beach";"Toyota Tarago";36.89
"Australia";"Airlie Beach";"Toyota HiAce";30.47
"Australia";"Airlie Beach";"Mitsubishi Outlander";44.04
"Australia";"Airlie Beach";"Ford Territory";40.69
"Australia";"Airlie Beach";"Mitsubishi Pajero";47.69
"Australia";"Airlie Beach";"Toyota Land Cruiser";38.96
"Australia";"Airlie Beach";"Hyundai Accent 3door";49.17
"Australia";"Airlie Beach";"Subaru Impreza";34.11
"Australia";"Airlie Beach";"Ford Falcon";39.52
"Australia";"Airlie Beach";"Ford Fairlane";31.72
"Australia";"Airlie Beach";"Subaru Forester";32.29
"Australia";"Airlie Beach";"Audi A3";41.6
"Australia";"Airlie Beach";"Audi A4";43.07
"Australia";"Airlie Beach";"Audi A6";33.3
"Australia";"Airlie Beach";"Kia Carnival";40.33
"Australia";"Airlie Beach";"Ford Falcon Estate/Wagon";30.87
"Australia";"Airlie Beach";"Subaru Legacy Estate/Wagon";39.8
"Australia";"Albury";"Hyundai Getz 3door";35.27
"Australia";"Albury";"Hyundai Accent 3door";40.54
"Australia";"Albury";"Subaru Impreza";44.41
"Australia";"Albury";"Ford Falcon";39.62
"Australia";"Albury";"Ford Fairlane";45.94
"Australia";"Albury";"Subaru Forester";43.73
"Australia";"Albury";"Audi A3";32.24
"Australia";"Albury";"Audi A4";34.9
"Australia";"Albury";"Audi A6";30.85
"Australia";"Albury";"Kia Carnival";35.52
"Australia";"Albury";"Ford Falcon Estate/Wagon";40.79
"Australia";"Albury";"Subaru Legacy Estate/Wagon";46.51
"Australia";"Albury";"Toyota Land Cruiser";36.97
"Australia";"Albury";"Toyota Corolla 3door";36.23
"Australia";"Albury";"Hyundai Elantra";35.73
"Australia";"Albury";"Mitsubishi Lancer";47.68
"Australia";"Albury";"Toyota Camry";43.78
"Australia";"Albury";"Mini Cooper Convertible";39.94
"Australia";"Albury";"BMW 3Series";47.17
"Australia";"Albury";"Toyota Tarago";41.07
"Australia";"Albury";"Toyota HiAce";34.45
"Australia";"Albury";"Mitsubishi Outlander";33.52
"Australia";"Albury";"Ford Territory";35.07
"Australia";"Albury";"Mitsubishi Pajero";34.84
"Australia";"Alexandria";"Hyundai Getz 3door";30.22
"Australia";"Alexandria";"Toyota Corolla 3door";46.2
"Australia";"Alexandria";"Hyundai Elantra";43.26
"Australia";"Alexandria";"Mitsubishi Lancer";33.3
"Australia";"Alexandria";"Toyota Camry";40.96
"Australia";"Alexandria";"Mini Cooper Convertible";30.09
"Australia";"Alexandria";"BMW 3Series";39.97
"Australia";"Alexandria";"Toyota Tarago";47.68
"Australia";"Alexandria";"Toyota HiAce";35.21
"Australia";"Alexandria";"Mitsubishi Outlander";42.76
"Australia";"Alexandria";"Ford Territory";33.08
"Australia";"Alexandria";"Mitsubishi Pajero";42.8
"Australia";"Alexandria";"Toyota Land Cruiser";42.79
"Australia";"Alexandria";"Hyundai Accent 3door";31.86
"Australia";"Alexandria";"Subaru Impreza";38.37
"Australia";"Alexandria";"Ford Falcon";45.2
"Australia";"Alexandria";"Ford Fairlane";32.95
"Australia";"Alexandria";"Subaru Forester";33.02
"Australia";"Alexandria";"Audi A3";48.48
"Australia";"Alexandria";"Audi A4";48.23
"Australia";"Alexandria";"Audi A6";41.54
"Australia";"Alexandria";"Kia Carnival";41.24
"Australia";"Alexandria";"Ford Falcon Estate/Wagon";41.24
"Australia";"Alexandria";"Subaru Legacy Estate/Wagon";39.93
"Australia";"Alice Springs";"Hyundai Getz 3door";49.77
"Australia";"Alice Springs";"Toyota Corolla 3door";46.58
"Australia";"Alice Springs";"Hyundai Elantra";35.08
"Australia";"Alice Springs";"Mitsubishi Lancer";49.24
"Australia";"Alice Springs";"Toyota Camry";48.31
"Australia";"Alice Springs";"Mini Cooper Convertible";34.71
"Australia";"Alice Springs";"BMW 3Series";49.82
"Australia";"Alice Springs";"Toyota Tarago";36.05
"Australia";"Alice Springs";"Toyota HiAce";49.42
"Australia";"Alice Springs";"Mitsubishi Outlander";43.06
"Australia";"Alice Springs";"Ford Territory";40.91
"Australia";"Alice Springs";"Mitsubishi Pajero";40.95
"Australia";"Alice Springs";"Toyota Land Cruiser";40.32
"Australia";"Alice Springs";"Hyundai Accent 3door";32.92
"Australia";"Alice Springs";"Subaru Impreza";45.37
"Australia";"Alice Springs";"Ford Falcon";40.1
"Australia";"Alice Springs";"Ford Fairlane";41.08
"Australia";"Alice Springs";"Subaru Forester";48.52
"Australia";"Alice Springs";"Audi A3";47.33
"Australia";"Alice Springs";"Audi A4";40.92
"Australia";"Alice Springs";"Audi A6";40.02
"Australia";"Alice Springs";"Kia Carnival";43.26
"Australia";"Alice Springs";"Ford Falcon Estate/Wagon";41.49
"Australia";"Alice Springs";"Subaru Legacy Estate/Wagon";44.24
"Australia";"Alice Springs";"Hyundai Getz 5door";49.69
"Australia";"Alice Springs";"Toyota Corolla 5door";44.17
"Australia";"Armidale";"Hyundai Getz 3door";42.58
"Australia";"Armidale";"Toyota Corolla 3door";48.54
"Australia";"Armidale";"Hyundai Elantra";36.77
"Australia";"Armidale";"Mitsubishi Lancer";34.87
"Australia";"Armidale";"Toyota Camry";38.85
"Australia";"Armidale";"Mini Cooper Convertible";41.85
"Australia";"Armidale";"BMW 3Series";48.81
"Australia";"Armidale";"Toyota Tarago";47.81
"Australia";"Armidale";"Toyota HiAce";37.82
"Australia";"Armidale";"Mitsubishi Outlander";37.03
"Australia";"Armidale";"Ford Territory";30.98
"Australia";"Armidale";"Mitsubishi Pajero";46.36
"Australia";"Armidale";"Toyota Land Cruiser";42.42
"Australia";"Ayers Rock";"Hyundai Getz 3door";35.86
"Australia";"Ayers Rock";"Toyota Corolla 3door";36.08
"Australia";"Ayers Rock";"Hyundai Elantra";47.55
"Australia";"Ayers Rock";"Mitsubishi Lancer";45.57
"Australia";"Ayers Rock";"Toyota Camry";37.9
"Australia";"Ayers Rock";"Mini Cooper Convertible";40.73
"Australia";"Ayers Rock";"BMW 3Series";45.75
"Australia";"Ayers Rock";"Toyota Tarago";41.32
"Australia";"Ayers Rock";"Toyota HiAce";39.35
"Australia";"Ayers Rock";"Mitsubishi Outlander";31.06
"Australia";"Ayers Rock";"Ford Territory";48.23
"Australia";"Ayers Rock";"Mitsubishi Pajero";40.82
"Australia";"Ayers Rock";"Toyota Land Cruiser";37.88
"Australia";"Bairnsdale";"Hyundai Getz 3door";30.9
"Australia";"Bairnsdale";"Hyundai Accent 3door";43.1
"Australia";"Bairnsdale";"Subaru Impreza";31.01
"Australia";"Bairnsdale";"Ford Falcon";48.8
"Australia";"Bairnsdale";"Ford Fairlane";35.64
"Australia";"Bairnsdale";"Subaru Forester";30.19
"Australia";"Bairnsdale";"Audi A3";44.47
"Australia";"Bairnsdale";"Audi A4";48.38
"Australia";"Bairnsdale";"Audi A6";44.86
"Australia";"Bairnsdale";"Kia Carnival";35.63
"Australia";"Bairnsdale";"Ford Falcon Estate/Wagon";38.11
"Australia";"Bairnsdale";"Subaru Legacy Estate/Wagon";49.78
"Australia";"Bairnsdale";"Toyota Land Cruiser";36.92
"Australia";"Ballarat";"Hyundai Getz 3door";40.64
"Australia";"Ballarat";"Toyota Corolla 3door";49.39
"Australia";"Ballarat";"Hyundai Elantra";47.42
"Australia";"Ballarat";"Mitsubishi Lancer";38.55
"Australia";"Ballarat";"Toyota Camry";45.24
"Australia";"Ballarat";"Mini Cooper Convertible";47.62
"Australia";"Ballarat";"BMW 3Series";35.16
"Australia";"Ballarat";"Toyota Tarago";32.62
"Australia";"Ballarat";"Toyota HiAce";37.43
"Australia";"Ballarat";"Mitsubishi Outlander";48.92
"Australia";"Ballarat";"Ford Territory";34.14
"Australia";"Ballarat";"Mitsubishi Pajero";37.19
"Australia";"Ballarat";"Toyota Land Cruiser";48.59
"Australia";"Ballarat";"Hyundai Accent 3door";32.69
"Australia";"Ballarat";"Subaru Impreza";35.81
"Australia";"Ballarat";"Ford Falcon";38.96
"Australia";"Ballarat";"Ford Fairlane";45.46
"Australia";"Ballarat";"Subaru Forester";47.88
"Australia";"Ballarat";"Audi A3";35.72
"Australia";"Ballarat";"Audi A4";34.33
"Australia";"Ballarat";"Audi A6";39.72
"Australia";"Ballarat";"Kia Carnival";46.97
"Australia";"Ballarat";"Ford Falcon Estate/Wagon";43.82
"Australia";"Ballarat";"Subaru Legacy Estate/Wagon";41.03
"Australia";"Ballina";"Hyundai Getz 3door";45.42
"Australia";"Ballina";"Toyota Corolla 3door";36.1
"Australia";"Ballina";"Hyundai Elantra";46.81
"Australia";"Ballina";"Mitsubishi Lancer";33.59
"Australia";"Ballina";"Toyota Camry";45.11
"Australia";"Ballina";"Mini Cooper Convertible";39.22
"Australia";"Ballina";"BMW 3Series";48.17
"Australia";"Ballina";"Toyota Tarago";45.72
"Australia";"Ballina";"Toyota HiAce";35.19
"Australia";"Ballina";"Mitsubishi Outlander";44.43
"Australia";"Ballina";"Ford Territory";41.51
"Australia";"Ballina";"Mitsubishi Pajero";32.72
"Australia";"Ballina";"Toyota Land Cruiser";31.21
"Australia";"Ballina";"Hyundai Accent 3door";30.72
"Australia";"Ballina";"Subaru Impreza";42.93
"Australia";"Ballina";"Ford Falcon";37.08
"Australia";"Ballina";"Ford Fairlane";43.63
"Australia";"Ballina";"Subaru Forester";43.24
"Australia";"Ballina";"Audi A3";37.82
"Australia";"Ballina";"Audi A4";30.3
"Australia";"Ballina";"Audi A6";44.63
"Australia";"Ballina";"Kia Carnival";34.98
"Australia";"Ballina";"Ford Falcon Estate/Wagon";48.02
"Australia";"Ballina";"Subaru Legacy Estate/Wagon";34.22
"Australia";"Bathurst";"Hyundai Getz 3door";36.9
"Australia";"Bathurst";"Toyota Corolla 3door";43.46
"Australia";"Bathurst";"Hyundai Elantra";34.61
"Australia";"Bathurst";"Mitsubishi Lancer";34.82
"Australia";"Bathurst";"Toyota Camry";44.58
"Australia";"Bathurst";"Mini Cooper Convertible";39.98
"Australia";"Bathurst";"BMW 3Series";42.36
"Australia";"Bathurst";"Toyota Tarago";31.71
"Australia";"Bathurst";"Toyota HiAce";37.33
"Australia";"Bathurst";"Mitsubishi Outlander";40.09
"Australia";"Bathurst";"Ford Territory";41.04
"Australia";"Bathurst";"Mitsubishi Pajero";36.39
"Australia";"Bathurst";"Toyota Land Cruiser";48.04
"Australia";"Bendigo";"Hyundai Getz 3door";32.97
"Australia";"Bendigo";"Toyota Corolla 3door";49.59
"Australia";"Bendigo";"Hyundai Elantra";42.46
"Australia";"Bendigo";"Mitsubishi Lancer";34.71
"Australia";"Bendigo";"Toyota Camry";38.19
"Australia";"Bendigo";"Mini Cooper Convertible";38.52
"Australia";"Bendigo";"BMW 3Series";40.83
"Australia";"Bendigo";"Toyota Tarago";47.33
"Australia";"Bendigo";"Toyota HiAce";47.73
"Australia";"Bendigo";"Mitsubishi Outlander";36.27
"Australia";"Bendigo";"Ford Territory";43.11
"Australia";"Bendigo";"Mitsubishi Pajero";30.14
"Australia";"Bendigo";"Toyota Land Cruiser";41.45
"Australia";"Blacktown";"Hyundai Getz 3door";35.18
"Australia";"Blacktown";"Toyota Corolla 3door";46.31
"Australia";"Blacktown";"Hyundai Elantra";40.16
"Australia";"Blacktown";"Mitsubishi Lancer";34.3
"Australia";"Blacktown";"Toyota Camry";42.6
"Australia";"Blacktown";"Mini Cooper Convertible";41.91
"Australia";"Blacktown";"BMW 3Series";32.34
"Australia";"Blacktown";"Toyota Tarago";43.13
"Australia";"Blacktown";"Toyota HiAce";32.83
"Australia";"Blacktown";"Mitsubishi Outlander";42.52
"Australia";"Blacktown";"Ford Territory";32.23
"Australia";"Blacktown";"Mitsubishi Pajero";31.35
"Australia";"Blacktown";"Toyota Land Cruiser";45.58
"Australia";"Brisbane";"Hyundai Getz 3door";49.16
"Australia";"Brisbane";"Toyota Corolla 3door";46.51
"Australia";"Brisbane";"Hyundai Elantra";39.66
"Australia";"Brisbane";"Mitsubishi Lancer";46.38
"Australia";"Brisbane";"Toyota Camry";32.31
"Australia";"Brisbane";"Mini Cooper Convertible";32.28
"Australia";"Brisbane";"BMW 3Series";40.8
"Australia";"Brisbane";"Toyota Tarago";34.77
"Australia";"Brisbane";"Toyota HiAce";30.01
"Australia";"Brisbane";"Mitsubishi Outlander";35.58
"Australia";"Brisbane";"Ford Territory";46.57
"Australia";"Brisbane";"Mitsubishi Pajero";35.8
"Australia";"Brisbane";"Toyota Land Cruiser";35.81
"Australia";"Brisbane";"Hyundai Accent 3door";39.7
"Australia";"Brisbane";"Subaru Impreza";45.19
"Australia";"Brisbane";"Ford Falcon";40.45
"Australia";"Brisbane";"Ford Fairlane";39.98
"Australia";"Brisbane";"Subaru Forester";34.15
"Australia";"Brisbane";"Audi A3";37.09
"Australia";"Brisbane";"Audi A4";30.61
"Australia";"Brisbane";"Audi A6";37.06
"Australia";"Brisbane";"Kia Carnival";44.61
"Australia";"Brisbane";"Ford Falcon Estate/Wagon";47.41
"Australia";"Brisbane";"Subaru Legacy Estate/Wagon";34.33
"Australia";"Broken Hill";"Hyundai Getz 3door";42.71
"Australia";"Broken Hill";"Toyota Corolla 3door";34.75
"Australia";"Broken Hill";"Hyundai Elantra";43.09
"Australia";"Broken Hill";"Mitsubishi Lancer";46.8
"Australia";"Broken Hill";"Toyota Camry";33.18
"Australia";"Broken Hill";"Mini Cooper Convertible";40.39
"Australia";"Broken Hill";"BMW 3Series";32.96
"Australia";"Broken Hill";"Toyota Tarago";42.79
"Australia";"Broken Hill";"Toyota HiAce";30.44
"Australia";"Broken Hill";"Mitsubishi Outlander";46.66
"Australia";"Broken Hill";"Ford Territory";38.66
"Australia";"Broken Hill";"Mitsubishi Pajero";36.27
"Australia";"Broken Hill";"Toyota Land Cruiser";46.03
"Australia";"Broome";"Hyundai Getz 3door";48.82
"Australia";"Broome";"Hyundai Accent 3door";34.75
"Australia";"Broome";"Subaru Impreza";32.53
"Australia";"Broome";"Ford Falcon";46.89
"Australia";"Broome";"Ford Fairlane";47.28
"Australia";"Broome";"Subaru Forester";46.07
"Australia";"Broome";"Audi A3";48.83
"Australia";"Broome";"Audi A4";36.25
"Australia";"Broome";"Audi A6";37.6
"Australia";"Broome";"Kia Carnival";40.33
"Australia";"Broome";"Ford Falcon Estate/Wagon";48.81
"Australia";"Broome";"Subaru Legacy Estate/Wagon";32.61
"Australia";"Broome";"Toyota Land Cruiser";45.92
"Australia";"Broome";"Toyota Corolla 3door";44.32
"Australia";"Broome";"Hyundai Elantra";46.61
"Australia";"Broome";"Mitsubishi Lancer";40.05
"Australia";"Broome";"Toyota Camry";30.5
"Australia";"Broome";"Mini Cooper Convertible";41.64
"Australia";"Broome";"BMW 3Series";46.12
"Australia";"Broome";"Toyota Tarago";32.93
"Australia";"Broome";"Toyota HiAce";40.16
"Australia";"Broome";"Mitsubishi Outlander";40.16
"Australia";"Broome";"Ford Territory";31.03
"Australia";"Broome";"Mitsubishi Pajero";48.22
"Australia";"Bunbury";"Hyundai Getz 3door";49.88
"Australia";"Bunbury";"Toyota Corolla 3door";47.34
"Australia";"Bunbury";"Hyundai Elantra";31.42
"Australia";"Bunbury";"Mitsubishi Lancer";48.31
"Australia";"Bunbury";"Toyota Camry";44.64
"Australia";"Bunbury";"Mini Cooper Convertible";41.57
"Australia";"Bunbury";"BMW 3Series";42.28
"Australia";"Bunbury";"Toyota Tarago";47.83
"Australia";"Bunbury";"Toyota HiAce";31.74
"Australia";"Bunbury";"Mitsubishi Outlander";37.52
"Australia";"Bunbury";"Ford Territory";39.84
"Australia";"Bunbury";"Mitsubishi Pajero";47.21
"Australia";"Bunbury";"Toyota Land Cruiser";32.44
"Australia";"Bundaberg";"Hyundai Getz 3door";33.81
"Australia";"Bundaberg";"Hyundai Accent 3door";31.19
"Australia";"Bundaberg";"Subaru Impreza";46.37
"Australia";"Bundaberg";"Ford Falcon";33.42
"Australia";"Bundaberg";"Ford Fairlane";40.98
"Australia";"Bundaberg";"Subaru Forester";42.84
"Australia";"Bundaberg";"Audi A3";41.54
"Australia";"Bundaberg";"Audi A4";48.86
"Australia";"Bundaberg";"Audi A6";37.94
"Australia";"Bundaberg";"Kia Carnival";43.8
"Australia";"Bundaberg";"Ford Falcon Estate/Wagon";38.39
"Australia";"Bundaberg";"Subaru Legacy Estate/Wagon";33.53
"Australia";"Bundaberg";"Toyota Land Cruiser";35.01
"Australia";"Bundaberg";"Toyota Corolla 3door";48.97
"Australia";"Bundaberg";"Hyundai Elantra";44.53
"Australia";"Bundaberg";"Mitsubishi Lancer";37.76
"Australia";"Bundaberg";"Toyota Camry";31.77
"Australia";"Bundaberg";"Mini Cooper Convertible";38.21
"Australia";"Bundaberg";"BMW 3Series";34.62
"Australia";"Bundaberg";"Toyota Tarago";44.65
"Australia";"Bundaberg";"Toyota HiAce";47.65
"Australia";"Bundaberg";"Mitsubishi Outlander";37.02
"Australia";"Bundaberg";"Ford Territory";31.08
"Australia";"Bundaberg";"Mitsubishi Pajero";40.41
"Australia";"Burnie";"Hyundai Getz 3door";33.49
"Australia";"Burnie";"Toyota Corolla 3door";34.09
"Australia";"Burnie";"Hyundai Elantra";33.63
"Australia";"Burnie";"Mitsubishi Lancer";38.31
"Australia";"Burnie";"Toyota Camry";42.41
"Australia";"Burnie";"Mini Cooper Convertible";41.77
"Australia";"Burnie";"BMW 3Series";40.72
"Australia";"Burnie";"Toyota Tarago";46.81
"Australia";"Burnie";"Toyota HiAce";47.58
"Australia";"Burnie";"Mitsubishi Outlander";34.63
"Australia";"Burnie";"Ford Territory";35.98
"Australia";"Burnie";"Mitsubishi Pajero";42.66
"Australia";"Burnie";"Toyota Land Cruiser";45.62
"Australia";"Byron Bay";"Hyundai Getz 3door";32.16
"Australia";"Byron Bay";"Toyota Corolla 3door";42.92
"Australia";"Byron Bay";"Hyundai Elantra";39.48
"Australia";"Byron Bay";"Mitsubishi Lancer";33.35
"Australia";"Byron Bay";"Toyota Camry";40.95
"Australia";"Byron Bay";"Mini Cooper Convertible";40.81
"Australia";"Byron Bay";"BMW 3Series";32.47
"Australia";"Byron Bay";"Toyota Tarago";36.14
"Australia";"Byron Bay";"Toyota HiAce";42.03
"Australia";"Byron Bay";"Mitsubishi Outlander";45.05
"Australia";"Byron Bay";"Ford Territory";49.87
"Australia";"Byron Bay";"Mitsubishi Pajero";36.02
"Australia";"Byron Bay";"Toyota Land Cruiser";39.12
"Australia";"Cairns";"Hyundai Getz 3door";45.05
"Australia";"Cairns";"Toyota Corolla 3door";31.76
"Australia";"Cairns";"Hyundai Elantra";37.63
"Australia";"Cairns";"Mitsubishi Lancer";33.26
"Australia";"Cairns";"Toyota Camry";42.75
"Australia";"Cairns";"Mini Cooper Convertible";47.07
"Australia";"Cairns";"BMW 3Series";40.16
"Australia";"Cairns";"Toyota Tarago";39.55
"Australia";"Cairns";"Toyota HiAce";45.01
"Australia";"Cairns";"Mitsubishi Outlander";48.87
"Australia";"Cairns";"Ford Territory";33.33
"Australia";"Cairns";"Mitsubishi Pajero";31.53
"Australia";"Cairns";"Toyota Land Cruiser";32.79
"Australia";"Cairns";"Hyundai Accent 3door";39.26
"Australia";"Cairns";"Subaru Impreza";45.73
"Australia";"Cairns";"Ford Falcon";48.98
"Australia";"Cairns";"Ford Fairlane";40.54
"Australia";"Cairns";"Subaru Forester";43.97
"Australia";"Cairns";"Audi A3";43.32
"Australia";"Cairns";"Audi A4";34.52
"Australia";"Cairns";"Audi A6";48.53
"Australia";"Cairns";"Kia Carnival";47.47
"Australia";"Cairns";"Ford Falcon Estate/Wagon";46.61
"Australia";"Cairns";"Subaru Legacy Estate/Wagon";34.93
"Australia";"Caloundra";"Hyundai Getz 3door";41.67
"Australia";"Caloundra";"Toyota Corolla 3door";49.26
"Australia";"Caloundra";"Hyundai Elantra";44.27
"Australia";"Caloundra";"Mitsubishi Lancer";32.58
"Australia";"Caloundra";"Toyota Camry";37.69
"Australia";"Caloundra";"Mini Cooper Convertible";31.9
"Australia";"Caloundra";"BMW 3Series";31.59
"Australia";"Caloundra";"Toyota Tarago";42.66
"Australia";"Caloundra";"Toyota HiAce";37.76
"Australia";"Caloundra";"Mitsubishi Outlander";41.45
"Australia";"Caloundra";"Ford Territory";31.72
"Australia";"Caloundra";"Mitsubishi Pajero";41.95
"Australia";"Caloundra";"Toyota Land Cruiser";42.9
"Australia";"Campbelltown";"Hyundai Getz 3door";30.81
"Australia";"Campbelltown";"Toyota Corolla 3door";47.92
"Australia";"Campbelltown";"Hyundai Elantra";44.57
"Australia";"Campbelltown";"Mitsubishi Lancer";49.11
"Australia";"Campbelltown";"Toyota Camry";46.88
"Australia";"Campbelltown";"Mini Cooper Convertible";44.88
"Australia";"Campbelltown";"BMW 3Series";30.46
"Australia";"Campbelltown";"Toyota Tarago";44.45
"Australia";"Campbelltown";"Toyota HiAce";31.78
"Australia";"Campbelltown";"Mitsubishi Outlander";47.29
"Australia";"Campbelltown";"Ford Territory";42.22
"Australia";"Campbelltown";"Mitsubishi Pajero";41.13
"Australia";"Campbelltown";"Toyota Land Cruiser";39.1
"Australia";"Canberra";"Hyundai Getz 3door";33.8
"Australia";"Canberra";"Toyota Corolla 3door";35.77
"Australia";"Canberra";"Hyundai Elantra";45.77
"Australia";"Canberra";"Mitsubishi Lancer";35.56
"Australia";"Canberra";"Toyota Camry";34.36
"Australia";"Canberra";"Mini Cooper Convertible";40.76
"Australia";"Canberra";"BMW 3Series";40.96
"Australia";"Canberra";"Toyota Tarago";48.92
"Australia";"Canberra";"Toyota HiAce";49.26
"Australia";"Canberra";"Mitsubishi Outlander";36.01
"Australia";"Canberra";"Ford Territory";41.26
"Australia";"Canberra";"Mitsubishi Pajero";32.44
"Australia";"Canberra";"Toyota Land Cruiser";37.8
"Australia";"Canberra";"Hyundai Accent 3door";35.87
"Australia";"Canberra";"Subaru Impreza";36.65
"Australia";"Canberra";"Ford Falcon";47.01
"Australia";"Canberra";"Ford Fairlane";34.93
"Australia";"Canberra";"Subaru Forester";33
"Australia";"Canberra";"Audi A3";46.75
"Australia";"Canberra";"Audi A4";30.99
"Australia";"Canberra";"Audi A6";43.75
"Australia";"Canberra";"Kia Carnival";33.22
"Australia";"Canberra";"Ford Falcon Estate/Wagon";38.74
"Australia";"Canberra";"Subaru Legacy Estate/Wagon";38.97
"Australia";"Cessnock";"Hyundai Getz 3door";42.19
"Australia";"Cessnock";"Toyota Corolla 3door";48.03
"Australia";"Cessnock";"Hyundai Elantra";32.29
"Australia";"Cessnock";"Mitsubishi Lancer";39.5
"Australia";"Cessnock";"Toyota Camry";31.88
"Australia";"Cessnock";"Mini Cooper Convertible";40.45
"Australia";"Cessnock";"BMW 3Series";44.45
"Australia";"Cessnock";"Toyota Tarago";32.94
"Australia";"Cessnock";"Toyota HiAce";47.4
"Australia";"Cessnock";"Mitsubishi Outlander";49.91
"Australia";"Cessnock";"Ford Territory";37.68
"Australia";"Cessnock";"Mitsubishi Pajero";39.7
"Australia";"Cessnock";"Toyota Land Cruiser";33.92
"Australia";"Coffs Harbour";"Hyundai Getz 3door";31.55
"Australia";"Coffs Harbour";"Toyota Corolla 3door";44.29
"Australia";"Coffs Harbour";"Hyundai Elantra";39.62
"Australia";"Coffs Harbour";"Mitsubishi Lancer";31.61
"Australia";"Coffs Harbour";"Toyota Camry";35.83
"Australia";"Coffs Harbour";"Mini Cooper Convertible";30.19
"Australia";"Coffs Harbour";"BMW 3Series";33.15
"Australia";"Coffs Harbour";"Toyota Tarago";34.6
"Australia";"Coffs Harbour";"Toyota HiAce";43.92
